ID1	TYPE	ID2
MYC	PPI	SKP2
MYC	PPI	UBE2L3
CUL1	PPI	SKP2
CUL1	PPI	MYC
CCND1	PPI	CUL1
CCND1	PPI	CDK6
EIF4E	PPI	PML
TP53	PHOSPHORYLATION	WNT2
ACP1	PPI	CTNNB1
NCOR2	PPI	PML
PML	PPI	TP53
HNRNPC	PPI	MYC
CDK9	PPI	MYC
CDK9	GENETIC	TP53
CDK9	PHOSPHORYLATION	UBE2L3
CDK9	PPI	CUL1
CDK9	PPI	SKP2
CTNNB1	PPI	CUL1
AXIN1	PPI	CTNNB1
AXIN1	PPI	MYC
TFDP1	PPI	TP53
MCM7	PPI	MYC
